Status,A&W Order,Delivery Date,Job,Customer,Items,Input PDF,Output PDF,Issues
OK,234717,6/12/2026,86915721 ENDHAVEN 41,HOPPER COMMUNITIES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order HOPPER_86915721 ENDHAVEN 41.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234717.pdf,
OK,234718,6/12/2026,87366126 EDGEWATER 162,TRUE HOMES LLC ****,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order TRUE HOMES_87366126 EDGEWATER 162.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234718.pdf,
OK,234719,6/12/2026,87446045 SHAY CROSSING 134A,TRUE HOMES LLC ****,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order TRUE HOMES_87446045 SHAY CROSSING 134A.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234719.pdf,
OK,234720,6/12/2026,87793812 ENCORE 99,DAVID WEEKLEY HOMES,P1,C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order DAVID WEEKLEY_87793812 ENCORE 99.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234720.pdf,
ISSUES,234721,6/12/2026,87896301 RIVERWALK 572,AVENCIA HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order AVENCIA_87896301 RIVERWALK 572.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234721.pdf,P1: FP-S cut-in/cut-out detected; manual DXF review required.
OK,234722,6/12/2026,87896301.2 RIVERWALK 572,AVENCIA HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order AVENCIA_87896301.2 RIVERWALK 572.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234722.pdf,
OK,234723,6/12/2026,88336170 6836 FAIRWAY,KRISTIN HEIDKAMP,P1,C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order KRISTIN HEIDKAMP_88336170 6836 FAIRWAY.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234723.pdf,
OK,234724,6/12/2026,88354206 295 TRADITION,T4 BUILDING,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order T4_88354206 295 TRADITION.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234724.pdf,
OK,234725,6/12/2026,88354206.2 295 TRADITION,T4 BUILDING,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order T4_88354206.2 295 TRADITION.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234725.pdf,
OK,234726,6/12/2026,88354292 5577 FIVE KNOLL,COPPER BLDRS INC,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order COPPER_88354292 5577 FIVE KNOLL.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234726.pdf,
OK,234727,6/12/2026,88354312 17330 DUE WEST,KNOTTS BUILDERS,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order KNOTTS_88354312 17330 DUE WEST.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234727.pdf,
OK,234728,6/12/2026,88355814 4311 COLLINGWOOD,LINNANE CONSTRUCTION,"P1, P2, P3",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order LINNANE_88355814 4311 COLLINGWOOD.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234728.pdf,
OK,234729,6/12/2026,88355814.2 4311 COLLINGWOOD,LINNANE CONSTRUCTION,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order LINNANE_88355814.2 4311 COLLINGWOOD.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234729.pdf,
OK,234730,6/12/2026,88355982 3508 COLONY,DAVID SIMONINI CUSTOM HOMES NC,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order DAVID SIMONINI_88355982 3508 COLONY.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234730.pdf,
OK,234731,6/12/2026,88356088 208 HEMPSTEAD,STEWART COMPANY LLC DBA MINT,"P1, P2, P3",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order STEWART_88356088 208 HEMPSTEAD.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234731.pdf,
OK,234732,6/12/2026,88340724 1592 CALIFORNIA,TERRAIN,"P1, P2, P3",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order TERRAIN_88340724 1592 CALIFORNIA.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234732.pdf,
OK,234733,6/12/2026,88340724.2 1592 CALIFORNIA,TERRAIN,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order TERRAIN_88340724.2 1592 CALIFORNIA.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Runs\6\Sketches\234733.pdf,
